Date,covestro
7/4/2022,32.45999908
7/5/2022,30.79000092
7/6/2022,31
7/7/2022,32.25
7/8/2022,33.43999863
7/11/2022,32
7/12/2022,32
7/13/2022,32.02999878
7/14/2022,31.60000038
7/15/2022,32.18999863
7/18/2022,32.88000107
7/19/2022,34.79000092
7/20/2022,34.66999817
7/21/2022,33.95999908
7/22/2022,33.43999863
7/25/2022,33.15999985
7/26/2022,32.22999954
7/27/2022,32.34000015
7/28/2022,32.63999939
7/29/2022,33.22999954
8/1/2022,33.04999924
8/2/2022,33.50999832
8/3/2022,33.81000137
8/4/2022,33.81000137
8/5/2022,33.13999939
8/8/2022,33.18999863
8/9/2022,32.40999985
8/10/2022,32.97999954
8/11/2022,31.81999969
8/12/2022,32.56999969
8/15/2022,32.27999878
8/16/2022,32.97999954
8/17/2022,31.22999954
8/18/2022,31.85000038
8/19/2022,31.47999954
8/22/2022,29.32999992
8/23/2022,29.97999954
8/24/2022,29.85000038
8/25/2022,29.93000031
8/26/2022,29.37999916
8/29/2022,30.23999977
8/30/2022,30.21999931
8/31/2022,30.12000084
9/1/2022,29.57999992
9/2/2022,31.01000023
9/5/2022,29.81999969
9/6/2022,30.07999992
9/7/2022,30.78000069
9/8/2022,30.84000015
9/9/2022,31.72999954
9/12/2022,32.33000183
9/13/2022,31.47999954
9/14/2022,30.29000092
9/15/2022,29.71999931
9/16/2022,29.12999916
9/19/2022,30.12000084
9/20/2022,29.81999969
9/21/2022,30.01000023
9/22/2022,29.81999969
9/23/2022,29
9/26/2022,29.26000023
9/27/2022,29.17000008
9/28/2022,29.20999908
9/29/2022,28.85000038
9/30/2022,29.54000092
10/3/2022,30.51000023
10/4/2022,32
10/5/2022,31.53000069
10/6/2022,31.31999969
10/7/2022,30.73999977
10/10/2022,33.27000046
10/11/2022,32.09999847
10/12/2022,32.59999847
10/13/2022,33.63000107
10/14/2022,33.56000137
10/17/2022,33.88999939
10/18/2022,34.61999893
10/19/2022,35.25
10/20/2022,36.00999832
10/21/2022,35.93999863
10/24/2022,35.70000076
10/25/2022,34.36999893
10/26/2022,35.09000015
10/27/2022,35.18000031
10/28/2022,34.58000183
10/31/2022,34.43999863
11/1/2022,33.93000031
11/2/2022,33.61000061
11/3/2022,32.84999847
11/4/2022,35.33000183
11/7/2022,36.45999908
11/8/2022,36.72999954
11/9/2022,35.36000061
11/10/2022,35.63000107
11/11/2022,37.40000153
11/14/2022,37.40000153
11/15/2022,36.72000122
11/16/2022,35.59000015
11/17/2022,35.43000031
11/18/2022,36.29000092
11/21/2022,35.02000046
11/22/2022,36.61000061
11/23/2022,36.81999969
11/24/2022,38.11999893
11/25/2022,37.41999817
11/28/2022,37.02999878
11/29/2022,38.22999954
11/30/2022,38.16999817
12/1/2022,37.16999817
12/2/2022,37.72000122
12/5/2022,36.97000122
12/6/2022,36.93000031
12/7/2022,36.31999969
12/8/2022,36.04000092
12/9/2022,36.66999817
12/12/2022,36.50999832
12/13/2022,37.47000122
12/14/2022,37
12/15/2022,35.79999924
12/16/2022,35.65999985
12/19/2022,36.11000061
12/20/2022,36.04000092
12/21/2022,36.52000046
12/22/2022,36.52999878
12/23/2022,36.33000183
12/27/2022,36.77999878
12/28/2022,36.93999863
12/29/2022,36.88000107
12/30/2022,36.54999924
1/2/2023,38.25999832
1/3/2023,39.58000183
1/4/2023,41.47000122
1/5/2023,41.70999908
1/6/2023,42.36999893
1/9/2023,42.84999847
1/10/2023,41.79999924
1/11/2023,41.22999954
1/12/2023,40.49000168
1/13/2023,40.49000168
1/16/2023,41.09000015
1/17/2023,41.06000137
1/18/2023,42.04999924
1/19/2023,40.70999908
1/20/2023,41.74000168
1/23/2023,42.18999863
1/24/2023,42.63999939
1/25/2023,42.15000153
1/26/2023,41.81999969
1/27/2023,41.81999969
1/30/2023,42
1/31/2023,42.11999893
2/1/2023,42.56000137
2/2/2023,43.70000076
2/3/2023,44.06999969
2/6/2023,42.83000183
2/7/2023,42.72000122
2/8/2023,42.52000046
2/9/2023,42.75
2/10/2023,41.70000076
2/13/2023,41.25
2/14/2023,41.63999939
2/15/2023,42.25
2/16/2023,42.54999924
2/17/2023,42.04000092
2/20/2023,42.52000046
2/21/2023,41.74000168
2/22/2023,41.18000031
2/23/2023,41.36999893
2/24/2023,40.31999969
2/27/2023,40.95999908
2/28/2023,41.65000153
3/1/2023,41.45999908
3/2/2023,38.90000153
3/3/2023,40.29000092
3/6/2023,38.97999954
3/7/2023,39.61999893
