Date,basf
6/13/2022,40.40085983
6/14/2022,39.83693314
6/15/2022,40.36380768
6/16/2022,37.59358978
6/17/2022,37.29309845
6/20/2022,37.66355896
6/21/2022,37.93111801
6/22/2022,35.72893143
6/23/2022,34.10713196
6/24/2022,34.75337982
6/27/2022,35.24321365
6/28/2022,35.42021561
6/29/2022,34.23062134
6/30/2022,34.18534088
7/1/2022,33.97541428
7/4/2022,34.48170853
7/5/2022,32.3741951
7/6/2022,32.72407532
7/7/2022,34.00011063
7/8/2022,35.32965469
7/11/2022,33.97129822
7/12/2022,33.97129822
7/13/2022,34.12359619
7/14/2022,33.25918579
7/15/2022,34.12771225
7/18/2022,35.1691246
7/19/2022,36.7868042
7/20/2022,36.77033997
7/21/2022,35.95120621
7/22/2022,35.51488495
7/25/2022,35.51488495
7/26/2022,34.72868729
7/27/2022,34.26354599
7/28/2022,35.02916718
7/29/2022,35.7412796
8/1/2022,35.67541885
8/2/2022,36.00883865
8/3/2022,36.11585617
8/4/2022,36.40810776
8/5/2022,36.23934555
8/8/2022,36.88147354
8/9/2022,36.21875763
8/10/2022,36.58922577
8/11/2022,35.7495079
8/12/2022,36.35047913
8/15/2022,36.27227402
8/16/2022,36.84031296
8/17/2022,35.14031219
8/18/2022,35.76185608
8/19/2022,35.42844391
8/22/2022,33.9013176
8/23/2022,34.41585159
8/24/2022,34.25119781
8/25/2022,34.59696579
8/26/2022,33.70374298
8/29/2022,34.77396393
8/30/2022,34.72868729
8/31/2022,34.63401031
9/1/2022,34.00422668
9/2/2022,35.39551163
9/5/2022,33.97541428
9/6/2022,34.61754227
9/7/2022,35.35023499
9/8/2022,34.98388672
9/9/2022,35.79890442
9/12/2022,36.98026276
9/13/2022,36.39575958
9/14/2022,35.21028137
9/15/2022,34.7863121
9/16/2022,34.07008362
9/19/2022,34.90156555
9/20/2022,34.24708557
9/21/2022,34.32941055
9/22/2022,33.75313568
9/23/2022,32.75700378
9/26/2022,32.77347565
9/27/2022,32.51414871
9/28/2022,32.44828796
9/29/2022,31.98315239
9/30/2022,32.60058594
10/3/2022,33.70374298
10/4/2022,34.82335663
10/5/2022,34.50640869
10/6/2022,33.97541428
10/7/2022,33.50204468
10/10/2022,35.55604553
10/11/2022,34.13594818
10/12/2022,34.68751907
10/13/2022,35.37081909
10/14/2022,35.66306686
10/17/2022,36.28873825
10/18/2022,36.98849869
10/19/2022,37.08728409
10/20/2022,37.41658783
10/21/2022,37.93523407
10/24/2022,38.35920715
10/25/2022,37.82409286
10/26/2022,37.45775223
10/27/2022,37.87760162
10/28/2022,37.29309845
10/31/2022,37.40423965
11/1/2022,37.45363235
11/2/2022,37.09140778
11/3/2022,36.66331482
11/4/2022,38.54032135
11/7/2022,39.19068146
11/8/2022,39.76284027
11/9/2022,39.14128494
11/10/2022,40.2609024
11/11/2022,41.72216797
11/14/2022,42.21611786
11/15/2022,41.40933228
11/16/2022,40.80836487
11/17/2022,40.30207062
11/18/2022,40.85364151
11/21/2022,40.06744003
11/22/2022,40.76720428
11/23/2022,40.56138992
11/24/2022,41.06768417
11/25/2022,40.83717728
11/28/2022,40.26502228
11/29/2022,40.38851166
11/30/2022,39.93983841
12/1/2022,39.40061188
12/2/2022,40.11683655
12/5/2022,39.49117279
12/6/2022,39.45412445
12/7/2022,39.04250336
12/8/2022,38.77494431
12/9/2022,39.28535461
12/12/2022,38.44564438
12/13/2022,39.13305664
12/14/2022,38.88196564
12/15/2022,37.71707153
12/16/2022,37.69648743
12/19/2022,37.47421265
12/20/2022,37.70472336
12/21/2022,38.28099442
12/22/2022,37.6100502
12/23/2022,38.06283188
12/27/2022,38.42506027
12/28/2022,38.31804276
12/29/2022,38.49504089
12/30/2022,38.19043732
1/2/2023,39.50351715
1/3/2023,40.24855804
1/4/2023,41.95267487
1/5/2023,42.49601746
1/6/2023,43.47568893
1/9/2023,43.50038147
1/10/2023,42.56188202
1/11/2023,42.94880676
1/12/2023,43.70619583
1/13/2023,43.43452072
1/16/2023,43.63209915
1/17/2023,43.50038147
1/18/2023,43.7391243
1/19/2023,42.95703888
1/20/2023,43.18754578
1/23/2023,43.27810287
1/24/2023,43.66503143
1/25/2023,43.52507782
1/26/2023,43.31926727
1/27/2023,43.31926727
1/30/2023,43.45098877
1/31/2023,43.13815308
2/1/2023,43.41805649
2/2/2023,44.32363129
2/3/2023,44.48828125
2/6/2023,43.59094238
2/7/2023,43.59094238
2/8/2023,43.51684952
2/9/2023,43.50861359
2/10/2023,42.22434998
2/13/2023,42.53718185
2/14/2023,42.03500366
2/15/2023,42.56188202
2/16/2023,43.13815308
2/17/2023,43.00643539
2/20/2023,43.72265625
2/21/2023,43.21224594
2/22/2023,43.10522461
2/23/2023,42.94880676
2/24/2023,39.57349396
2/27/2023,39.42530823
2/28/2023,39.90690994
3/1/2023,39.82458496
3/2/2023,39.78342056
3/3/2023,40.47494888
3/6/2023,39.72579575
3/7/2023,39.5282135
3/8/2023,39.7504921
3/9/2023,39.50763321
3/10/2023,39.14128494
3/13/2023,37.62239838
3/14/2023,38.20278549
3/15/2023,36.66331482
3/16/2023,37.1160965
3/17/2023,36.9761467
3/20/2023,37.37542343
3/21/2023,38.00931931
3/22/2023,38.33039093
3/23/2023,38.17809296
3/24/2023,37.79939651
3/27/2023,37.81174469
3/28/2023,38.18632126
3/29/2023,38.84080124
3/30/2023,39.43354416
3/31/2023,39.81223679
4/3/2023,40.16623306
4/4/2023,40.34734344
4/5/2023,39.81223679
4/6/2023,39.85340118
4/11/2023,40.42966843
4/12/2023,40.68899155
4/13/2023,40.17858124
4/14/2023,40.91950607
4/17/2023,41.21175766
4/18/2023,41.59045029
4/19/2023,41.84565735
4/20/2023,41.66454315
4/21/2023,40.83717728
4/24/2023,41.35993958
4/25/2023,41.29407883
4/26/2023,41.28585052
4/27/2023,39.51174545
4/28/2023,41.5097084
5/2/2023,40.03450012
5/3/2023,41.07556152
5/4/2023,40.66356659
5/5/2023,42.10776901
5/8/2023,41.62488937
5/9/2023,41.50527954
5/10/2023,41.75336075
5/11/2023,41.74007416
5/12/2023,41.73121262
5/15/2023,42.28496933
5/16/2023,41.73564148
5/17/2023,41.57616043
5/18/2023,42.04574966
5/19/2023,42.17864609
5/22/2023,41.89512253
5/23/2023,42.05460739
5/24/2023,41.13315582
5/25/2023,40.68128967
5/26/2023,41.56287003
5/29/2023,41.38124084
5/30/2023,40.73887634
5/31/2023,39.35226822
6/1/2023,39.73768234
6/2/2023,41.4565506
6/5/2023,41.23061371
6/6/2023,41.42996597
6/7/2023,41.15530396
6/8/2023,41.52743149
6/9/2023,40.77874756
6/12/2023,41.01797104
6/13/2023,41.43882751
6/14/2023,41.496418
6/15/2023,41.07113266
6/16/2023,40.49079514
